COMPANY,FACILITY_TYPE,FACILITY_NAME_1,FACILITY_NAME_2,FACILITY_CODE1,FACILITY_CODE2,OWN,MGMT_TYPE,USE_YN,ADDRESS,LATITUDE,LONGITUDE,AREA,ADD_INFORMATION
CCB,DC,하남,,B105,,자가,단독,Y,경기도 하남시 신장로 77번길 143(천현동),37.5322852,127.2034128,700,
CCB,CD,남양주,,B104,,임차,단독,Y,경기도 남양주시 경춘로 623(일패동),37.6302283,127.18664,280,
CCB,DC,안양,,B102,,자가,단독,Y,경기도 안양시 만안구 박달로 337(박달동),37.4066963,126.8908803,"1,546",
CCB,DC,일산,,B103,,임차,단독,Y,경기도 고양시 일산동구 성현로268번길 68-63,37.7014519,126.809697,600,
CCB,DC,인천,,B107,,자가,단독,Y,인천광역시 동구 방축로 31,37.4870722,126.650096,"1,276",
CCB,DC,수원,,B106,,임차,통합,N,경기 화성시 정남면 가장로 281,37.1647018,127.0078889,724,"2021년 6월 진위2산단 통합물류센터 이전 (CCB, htb)"
CCB,DC,수원,,B106,,자가,통합,Y,경기 평택시 진위면 진위2산단로 55,37.109771,127.062342,,"2021년 6월 진위2산단 통합물류센터 이전 (CCB, htb)"
CCB,MC,여주메가,,B101,,자가,단독,Y,경기 여주시 세종로(점봉동) 415번지,37.2980237,127.6371628,"9,187",
CCB,DC,강릉,,B109,,자가,단독,Y,강릉시 강변로 604번길 9,37.7681822,128.926162,350,
CCB,DC,춘천,,B108,,임차,단독,Y,강원도 춘천시 퇴계공단1길 41,37.8468073,127.7388505,310,
CCB,DC,충주,,B110,,임차,단독,Y,충북 충주시 중앙탑면 탄금대로 835번지,36.9810491,127.9110618,500,
CCB,MC,양산메가,,B301,,자가,단독,Y,경남 양산시 충렬로 269번지 ,35.3682866,129.0386499,"4,100",
CCB,DC,울산,,B307,,자가,통합,Y,울산시 남구 장생포로 288(매암동),35.5103843,129.3724937,640,
CCB,DC,사상,,B306,,임차,단독,Y,부산시 사상구 강변대로 420-16,35.121869,128.9625759,493,
CCB,DC,창원,,B308,,자가,단독,Y,경남 김해시 진영읍 진산대로 201번길 12,35.3207917,128.721539,582,
CCB,CD,통영,,B310,,자가,단독,Y,경남 통영시 용남면 적촌길 96,34.8915442,128.45569,106,
CCB,DC,대구,,B302,,임차,단독,Y,대구시 서구 문화로 77,35.8756215,128.5412082,"1,439",
CCB,DC,경주,,B305,,자가,통합,Y,경북 경주시 강동면 강동산단로 130-23,35.9566016,129.3068115,700,
CCB,CD,진주,,B309,,임차,단독,Y,경남 진주시 금산면 월아산로 1320,35.1837625,128.1578919,138,
CCB,DC,구미,,B303,,자가,단독,Y,경북 구미시 선산읍 선상서로 99,36.2380973,128.2912037,277,
CCB,CD,안동,,B304,,임차,단독,Y,경북 안동시 강남로 41-1 (수상동),36.5487546,128.7060276,175,
CCB,MC,광주메가,,B401,,자가,단독,Y,광주시 북구 양일로 130(양산동),35.1966572,126.8783592,"2,221",
CCB,DC,순천,,B404,,임차,단독,Y,순천시 해룡면 발흥길 18,34.8933937,127.5583919,293,
CCB,DC,목포,,B403,,자가,단독,Y,전라남도 목포시 대양산단로199번길 15(대양동),34.8262156,126.4011011,463,
CCB,DC,전북,,B402,,자가,통합,Y,전북 김제시 백구면 번영로 2640-49,35.8806777,126.9756379,765,
CCB,DC,대전,,B406,,자가,단독,Y,대전시 대덕구 신일동로 17번길 20 (신일동),36.443784,127.4070165,"1,255",
CCB,DC,제주,,B405,,임차,단독,Y,제주시 애월읍 중산간서로 6315,33.4568886,126.4053721,483,
CCB,DC,천안,,B111,,자가,단독,Y,충남 아산시 음봉면 음봉로 471-14,36.8433653,127.0637126,757,
CCB,DC,서산,,B112,,자가,단독,Y,충남 서산시 고북면 고수관로 17-43,36.6578861,126.5393822,386,
HTB,DC,하남(구 송파),,B613,,임차,단독,Y,경기도 하남시 하남대로 166번길 28(상산곡동),37.4902619,127.237,227,
HTB,DC,북부(포천),,B614,,임차,단독,Y,경기도 포천시 소홀읍 이동교리 381-1,37.7976562,127.1286592,305,
HTB,DC,가양,,B615,,임차,단독,Y,서울특별시 강서구 양천로 537 한일물류센터내,37.5595335,126.8591758,470,
HTB,DC,인천,,B612,,자가,단독,Y,인천시 계양구 아나지로 342(작전동),37.5249054,126.729984,235,
HTB,DC,"고양(특,자판)",,B618,,임차,단독,Y,경기 고양시 덕양구 동헌로73(관산동),37.7053329,126.8659551,620,
HTB,DC,안양,,B619,,임차,단독,Y,경기도 군포시 번영로 82,37.3308523,126.9375047,280,
HTB,DC,수원,,B603,,임차,통합,N,경기 화성시 정남면 가장로 281,37.1647018,127.0078889,280,"2021년 6월 진위2산단 통합물류센터 이전 (CCB, htb)"
HTB,DC,수원,,B603,,자가,통합,Y,경기 평택시 진위면 진위2산단로 55,37.109771,127.062342,,"2021년 6월 진위2산단 통합물류센터 이전 (CCB, htb)"
HTB,DC,이천,,B622,,자가,단독,Y,경기도 이천시 마장면 중부대로645번길 8,37.253318,127.4080916,272,
HTB,DC,원주,,B623,,임차,단독,Y,강원도 원주시 지정면 신평리 197,37.3591546,127.8980975,814,
HTB,DC,강릉,,B624,,자가,단독,Y,강원 강릉시 동해대로3407번길 11(대전동),37.791018,128.863447,120,
HTB,MC,천안메가,,B601,,자가,단독,Y,천안시 동남구 청당산업길 250(구룡동),36.7576449,127.1466795,"6,630",
HTB,DC,서부산,,B641,,자가,단독,Y,부산시 사하구 다대로 170번길 14,35.0879342,128.9759597,570,
HTB,DC,동부산,,B642,,임차,단독,Y,부산시 금정구 동초로 7번길(48-3 회동동),35.2289577,129.1229267,230,
HTB,DC,울산,,B643,,임차,통합,Y,울산시 남구 장생포로 288(매암동),35.5103843,129.3724937,210,
HTB,DC,창원,,B644,,임차,단독,Y,경남 창원시 의창구 창원대로 474(서브원),35.2300685,128.6477357,490,
HTB,DC,고성(진주+통영),,B645,,임차,단독,Y,경남 고성군 고성읍 남해안대로 756,34.9662936,128.3392915,245,
HTB,DC,동대구,,B646,,자가,단독,Y,대구시 동구 동촌로 393,35.8762731,128.6827738,180,서대구물류센터 통합 계획(서대구 + 동대구)
HTB,DC,서대구,,B647,,자가,단독,Y,대구시 서구 국채 보상로 80,35.8683255,128.5399782,600,서대구물류센터 통합 계획(서대구 + 동대구)
HTB,DC,경주,,B649,,임차,통합,Y,경북 경주시 강동면 강동산단로 130-23,35.9566016,129.3068115,330,
HTB,DC,구미,,B651,,임차,단독,Y,경북 구미시 1공단로6길 37(공단동),36.0922648,128.3780144,340,
HTB,DC,광주,,B661,,임차,단독,Y,광주광역시 광산구 임방울대로 580 (도천동),35.2132892,126.8193898,481,
HTB,DC,전주/익산,,B662,,임차,통합,Y,전라북도 김제시 백구면 번영로 2640-49 ,35.8806777,126.9756379,160,
HTB,DC,순천,,B664,,임차,단독,Y,전라남도 광양시 광양읍 제철로 698,34.9475824,127.6070647,190,
HTB,DC,제주,,B665,,자가,단독,Y,제주특별자치도 제주시 애월읍 하광로 203-1 ,33.4702608,126.4206844,150,
HTB,DC,대전,,B666,,자가,단독,Y,대전광역시 동구 대전로 174-36 (낭월동),36.2812229,127.4656464,220,
HTB,DC,청주,,B667,,자가,단독,Y,충청북도 청원군 강내면 탑연길 17-4 ,36.619439,127.3600796,179,
CCB,CV,한국통운,,B113,,임차,단독,Y,경기 여주시 주내로 841,37.2554756,127.6620052,"1,900","CVS 전담(수도권), 편의점 거래처만 공급/매핑 가능함"
CCB,CD,인영물류,,B114,,임차,단독,N,경기 여주시 능서면 중부대로 2592,37.2977878,127.5905035,"1,296","남양주전담(CD), 삭제 필요"
CCB, +MC,대신창고,,"B101 (8008,8009)",8008,임차,단독,N,경기도 여주시 대신면 여양로 763 ,37.3735142,127.5893231,"4,328",상시 임차창고(여주)
CCB,CV,화인창고,,B311,,임차,단독,Y,경남 양산시 상북면 양산대로 1303,35.3840421,129.0466046,"1,100","CVS, 할인점 전담(영남권), 편의점 할인점 채널 코드이고, 2개 모두 매핑 가능 한국통운은 편의점만 매핑 가능"
CCB, +MC,석암창고,,B301 (8001),8001,임차,단독,N,경남 양산시 유산공단8길 85 ,35.3640639,129.0250063,"1,000",성수기 임차창고(양산)
CCB,FA,여주,,B100,,자사,,Y,경기도 여주시 세종로 415,37.2630945,127.6432276,,
CCB,FA,양산,,B300,,자사,,Y,경남 양산시 충렬로 269,35.3682866,129.0386499,,
CCB,FA,광주,,B400,,자사,,Y,광주광역시 북구 양일로 130,35.1966572,126.8783592,,
HTB,FA,천안,,B600,,자사,,Y,충남 천안시 동남구 청당산업길 250,36.7576449,127.1466795,,
HTB,FA,익산,,B660,,자사,,Y,전북 익산시 석암로7길 31-17,35.949939,127.0017128,,
HTB,FA,평창,,B620,,자사,,Y,강원시 평창군 봉평면 진조길 227-35,37.5520466,128.3273724,,
HTB,FA,철원,,B720,,자사,,Y,강원도 철원군 근남면 하문수동길 93,38.2111222,127.4665622,,
CCB,FA,남원,한국음료 남원공장,B400,3160,OEM ,,Y,전북 남원시 덕과면 덕과남길 115,35.504059,127.3726722,,
HTB,FA,남원,한국음료 남원공장,B600,3160,OEM ,,Y,전북 남원시 덕과면 덕과남길 115,35.504059,127.3726722,,
CCB,FA,광혜원,삼양패키징,B100,3100,OEM ,,Y,충북 진천군 광혜원면 죽현길 114,36.9507167,127.4222598,,
HTB,FA,광혜원,삼양패키징,B600,3100,OEM ,,Y,충북 진천군 광혜원면 죽현길 114,36.9507167,127.4222598,,
CCB,FA,오창,서흥,B100,3250,OEM ,,Y,충북 청주시 청원구 오창읍 연구단지로 216,36.7171282,127.4359398,,
HTB,FA,홍성,건강한 사람들,B100,3211,OEM ,,Y,충남 홍성군 결성면 만해로 230번길 11,36.5542087,126.5450465,,
HTB,FA,홍성,건강한 사람들,B600,3211,OEM ,,Y,충남 홍성군 결성면 만해로 230번길 11,36.5542087,126.5450465,,
CCB,FA,횡성,서울에프앤비,B100,3110,OEM ,,Y,강원도 횡성군 공근면 아이티밸리길 3-6,37.5290564,127.9102688,,
HTB,FA,횡성,서울에프앤비,B600,3110,OEM ,,Y,강원도 횡성군 공근면 아이티밸리길 3-6,37.5290564,127.9102688,,
CCB,FA,횡성,동원시스템즈,B100,3212,OEM ,,Y,강원도 횡성군 우천면 우천산업단지로 75-13,37.493442,128.0571278,,
CCB,FA,안동,오케이에프,B300,3130,OEM ,,Y,경북 안동시 풍산읍 절뒤길 52,36.600922,128.5389666,,
HTB,FA,안동,오케이에프,B600,3130,OEM ,,Y,경북 안동시 풍산읍 절뒤길 52,36.600922,128.5389666,,
CCB,FA,군위,대구경북능금농협 음료가공공장,B300,3140,OEM ,,Y,경북 군위군 의흥면 동부로 935-14,36.1706995,128.730467,,
HTB,FA,군위,대구경북능금농협 음료가공공장,B600,3140,OEM ,,Y,경북 군위군 의흥면 동부로 935-14,36.1706995,128.730467,,
CCB,FA,함양,퓨어플러스,B300,3260,OEM ,,Y,경남 함양군 수동면 수동농공길 11,35.5249117,127.7846285,,
HTB,FA,함양,퓨어플러스,B600,3260,OEM ,,Y,경북 군위군 의흥면 동부로 935-14,36.1706995,128.730467,,
CCB,FA,대구,푸드웰,B300,3150,OEM ,,Y,대구광역시 달서구 성서서로 121,35.8355813,128.498475,,
HTB,FA,대구,푸드웰,B600,3150,OEM ,,Y,대구광역시 달서구 성서서로 121,35.8355813,128.498475,,
CCB,FA,예천,튤립 인터내셔널,B300,3261,OEM ,,Y,경북 예천군 보문면 산단길 13-3,36.6652563,128.5108955,,
CCB,FA,정읍,신우 S&F,B400,3170,OEM ,,Y,전북 정읍시 고부면 고부농단길 30,35.6057354,126.7721252,,
CCB,FA,담양,자연과 사람들,B400,3180,OEM ,,Y,전남 담양군 금성면 금성공단길 10,35.3527049,127.0400776,,
HTB,FA,담양,자연과 사람들,B600,3180,OEM ,,Y,전남 담양군 금성면 금성공단길 10,35.3527049,127.0400776,,
CCB,FA,진천,다정 (신규검토-서흥물량 이전),B100,,OEM ,,N,충북 진천군 이월면 장수로 371,36.8915699,127.4229673,,
HTB,FA,포천,포천그린,B720,3600,OEM ,,N,경기도 포천시 이동면 화동로 1870번길 173,38.0102084,127.3857268,,
CCB,FA,제주,제주개발공사-LG생활건강,B100,,OEM ,,N,삼다수: 제주특별자치도 제주시 조천읍 남조로 1717-35,33.4212751,126.6716316,,
CCB,FA,제주,제주개발공사-LG생활건강,B100,,OEM ,,N,휘오제주V워터: 제주시 한림읍 월림7길 58,33.3523597,126.2512276,,
CCB,FA,영동,매일유업,B100,3290,OEM ,,Y,충북 영동군 매곡면 괘방령로 730-20,36.1497035,127.9870779,,
HTB,FA,영동,매일유업,B600,3290,OEM ,,Y,충북 영동군 매곡면 괘방령로 730-20,36.1497035,127.9870779,,
HTB,FA,칠곡,네이처셀,B600,3200,OEM ,,Y,경북 칠곡군 기산면 기산공단 1길 21,35.9761369,128.3687994,,
HTB,FA,청주,바른음료,B600,3280,OEM ,,Y,충북 청주시 서원구 현도면 선동2길 220,36.6424341,127.4890319,,
